gene	GO	ONTOLOGY
NUDT4B	GO:0003723	MF
NUDT4B	GO:0005515	MF
NUDT4B	GO:0008486	MF
NUDT4B	GO:0016462	MF
NUDT4B	GO:0016787	MF
NUDT4B	GO:0016787	MF
NUDT4B	GO:0046872	MF
NUDT4B	GO:0005737	CC
TRBV20OR9-2	GO:0002376	BP
TRBV20OR9-2	GO:0005886	CC
IGKV3-7	GO:0002250	BP
IGKV3-7	GO:0002376	BP
IGKV3-7	GO:0005576	CC
IGKV3-7	GO:0005576	CC
IGKV3-7	GO:0005886	CC
IGKV3-7	GO:0005886	CC
IGKV3-7	GO:0019814	CC
IGKV1D-42	GO:0002250	BP
IGKV1D-42	GO:0002376	BP
IGKV1D-42	GO:0005576	CC
IGKV1D-42	GO:0005576	CC
IGKV1D-42	GO:0005886	CC
IGKV1D-42	GO:0019814	CC
IGLV4-69	GO:0002250	BP
IGLV4-69	GO:0002376	BP
IGLV4-69	GO:0005576	CC
IGLV4-69	GO:0005576	CC
IGLV4-69	GO:0005886	CC
IGLV4-69	GO:0019814	CC
IGLV8-61	GO:0002250	BP
IGLV8-61	GO:0002376	BP
IGLV8-61	GO:0005576	CC
IGLV8-61	GO:0005576	CC
IGLV8-61	GO:0005886	CC
IGLV8-61	GO:0019814	CC
IGLV4-60	GO:0002250	BP
IGLV4-60	GO:0002376	BP
IGLV4-60	GO:0005576	CC
IGLV4-60	GO:0005576	CC
IGLV4-60	GO:0005886	CC
IGLV4-60	GO:0019814	CC
IGLV11-55	GO:0002250	BP
IGLV11-55	GO:0002376	BP
IGLV11-55	GO:0005576	CC
IGLV11-55	GO:0005576	CC
IGLV11-55	GO:0005886	CC
IGLV11-55	GO:0019814	CC
IGLV10-54	GO:0002250	BP
IGLV10-54	GO:0002376	BP
IGLV10-54	GO:0005576	CC
IGLV10-54	GO:0005576	CC
IGLV10-54	GO:0005886	CC
IGLV10-54	GO:0019814	CC
IGLV1-50	GO:0002250	BP
IGLV1-50	GO:0002376	BP
IGLV1-50	GO:0005576	CC
IGLV1-50	GO:0005576	CC
IGLV1-50	GO:0005886	CC
IGLV1-50	GO:0005886	CC
IGLV1-50	GO:0019814	CC
IGLV5-48	GO:0002250	BP
IGLV5-48	GO:0002376	BP
IGLV5-48	GO:0005576	CC
IGLV5-48	GO:0005576	CC
IGLV5-48	GO:0005886	CC
IGLV5-48	GO:0019814	CC
IGLV7-46	GO:0002250	BP
IGLV7-46	GO:0002376	BP
IGLV7-46	GO:0005576	CC
IGLV7-46	GO:0005576	CC
IGLV7-46	GO:0005886	CC
IGLV7-46	GO:0019814	CC
IGLV5-37	GO:0002250	BP
IGLV5-37	GO:0002376	BP
IGLV5-37	GO:0005576	CC
IGLV5-37	GO:0005576	CC
IGLV5-37	GO:0005886	CC
IGLV5-37	GO:0019814	CC
IGLV2-33	GO:0002250	BP
IGLV2-33	GO:0002376	BP
IGLV2-33	GO:0005576	CC
IGLV2-33	GO:0005576	CC
IGLV2-33	GO:0005886	CC
IGLV2-33	GO:0019814	CC
IGLV3-22	GO:0002250	BP
IGLV3-22	GO:0002376	BP
IGLV3-22	GO:0005576	CC
IGLV3-22	GO:0005576	CC
IGLV3-22	GO:0005886	CC
